Community,Subpopulation,Month,Inflow,Outflow
"Toledo, OH",All Singles,01/01/24,100,-150
"Toledo, OH",All Singles,02/01/24,90,-50
"Toledo, OH",All Singles,03/01/24,80,-70
"Toledo, OH",All Singles,04/01/24,250,-300
"Toledo, OH",All Singles,05/01/24,100,-150
"Toledo, OH",All Singles,06/01/24,90,-50
"Toledo, OH",All Singles,07/01/24,80,-70
"Toledo, OH",All Singles,08/01/24,250,-300
"Toledo, OH",All Singles,09/01/24,100,-150
"Toledo, OH",All Singles,10/01/24,90,-50
"Toledo, OH",All Singles,11/01/24,80,-70
"Toledo, OH",All Singles,12/01/24,250,-300
"Toledo, OH",Veteran,01/01/24,15,-20
"Toledo, OH",Veteran,02/01/24,10,-21
"Toledo, OH",Veteran,03/01/24,5,-25
"Toledo, OH",Veteran,04/01/24,35,-15
"Toledo, OH",Veteran,05/01/24,15,-20
"Toledo, OH",Veteran,06/01/24,10,-21
"Toledo, OH",Veteran,07/01/24,5,-25
"Toledo, OH",Veteran,08/01/24,35,-15
"Toledo, OH",Veteran,09/01/24,15,-20
"Toledo, OH",Veteran,10/01/24,10,-21
"Toledo, OH",Veteran,11/01/24,5,-25
"Toledo, OH",Veteran,12/01/24,35,-15
